"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","lufft_ZB"
"TIMESTAMP","RECORD","Air_Temperature_Avg","Rel_Humidity_Avg","Rel_Air_Pressure_Avg","Wind_speed_Avg_","Wind_dir_vct","Wet_bulb_Temp_Avg","Prec_type_Tot","Prec_intensity_Avg","Dew_point_Avg","Battery_Vdc","Status_total_Tot"
"TS","RN","","","","","Deg","","","","","",""
"","","Avg","Avg","Avg","WVc:","WVc:","Avg","Tot","Avg","Avg","Smp","Tot"
"2018-12-20 04:55:00",190,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:00:00",191,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:05:00",192,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:10:00",193,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:15:00",194,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:20:00",195,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:25:00",196,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:30:00",197,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:35:00",198,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:40:00",199,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:45:00",200,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:50:00",201,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 05:55:00",202,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:00:00",203,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:05:00",204,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:10:00",205,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:15:00",206,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:20:00",207,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:25:00",208,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:30:00",209,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:35:00",210,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:40:00",211,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:45:00",212,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:50:00",213,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 06:55:00",214,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 07:00:00",215,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 07:05:00",216,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
