"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","druksonde_ZB_P1"
"TIMESTAMP","RECORD","Druk_Avg(1)","Druk_Avg(2)"
"TS","RN","",""
"","","Avg","Avg"
"2019-01-03 08:00:00",354,"NAN",0
"2019-01-03 09:00:00",355,"NAN",0
"2019-01-03 10:00:00",356,"NAN",0
"2019-01-03 11:00:00",357,"NAN",0
"2019-01-03 12:00:00",358,"NAN",0
"2019-01-03 13:00:00",359,"NAN",0
"2019-01-03 14:00:00",360,"NAN",0
"2019-01-03 15:00:00",361,"NAN",0
"2019-01-03 16:00:00",362,"NAN",0
"2019-01-03 17:00:00",363,"NAN",0
"2019-01-03 18:00:00",364,"NAN",0
"2019-01-03 19:00:00",365,"NAN",0
"2019-01-03 20:00:00",366,"NAN",0
"2019-01-03 21:00:00",367,"NAN",0
"2019-01-03 22:00:00",368,"NAN",0
"2019-01-03 23:00:00",369,"NAN",0
"2019-01-04 00:00:00",370,"NAN",0
"2019-01-04 01:00:00",371,"NAN",0
"2019-01-04 02:00:00",372,"NAN",0
"2019-01-04 03:00:00",373,"NAN",0
"2019-01-04 04:00:00",374,"NAN",0
"2019-01-04 05:00:00",375,"NAN",0
"2019-01-04 06:00:00",376,"NAN",0
"2019-01-04 07:00:00",377,"NAN",0
"2019-01-04 08:00:00",378,"NAN",0
"2019-01-04 09:00:00",379,"NAN",0
"2019-01-04 10:00:00",380,"NAN",0
"2019-01-04 11:00:00",381,"NAN",0
"2019-01-04 12:00:00",382,"NAN",0
"2019-01-04 13:00:00",383,"NAN",0
"2019-01-04 14:00:00",384,"NAN",0
"2019-01-04 15:00:00",385,"NAN",0
"2019-01-04 16:00:00",386,"NAN",0
"2019-01-04 17:00:00",387,"NAN",0
"2019-01-04 18:00:00",388,"NAN",0
"2019-01-04 19:00:00",389,"NAN",0
"2019-01-04 20:00:00",390,"NAN",0
"2019-01-04 21:00:00",391,"NAN",0
"2019-01-04 22:00:00",392,"NAN",0
"2019-01-04 23:00:00",393,"NAN",0
"2019-01-05 00:00:00",394,"NAN",0
